threshold,f1,precision,recall,recall_class0
0.53,0.6847012279598123,0.6770311165571274,0.6937222236330853,0.47928994082840237
0.54,0.6873666866921645,0.6769394928445895,0.7004520405312746,0.4970414201183432
0.55,0.692489356196928,0.6802307965907444,0.7084694110775325,0.514792899408284
0.56,0.6952477749441697,0.6816435870293158,0.7135282017421338,0.5266272189349113
0.5700000000000001,0.6926434543195783,0.6784183290066949,0.7122406480940651,0.5266272189349113
0.58,0.6897165061295971,0.6740029511399298,0.7126241206795846,0.5325443786982249
0.59,0.6876792508047995,0.6708419216743301,0.7134367778144601,0.5384615384615384
0.6,0.6878016209195563,0.6695893214047778,0.7172080148309927,0.5502958579881657
0.61,0.6845007023684723,0.665948275862069,0.7154912766335678,0.5502958579881657
0.62,0.6804345080207149,0.6615626045717319,0.7133453538867867,0.5502958579881657
0.63,0.6789822405467408,0.6590820779531325,0.7162582218046067,0.5621301775147929
0.64,0.6831340597988766,0.6616802049828272,0.7259466185844529,0.5857988165680473
0.65,0.6811729742086996,0.6594180387283836,0.7267592757193286,0.591715976331361
0.66,0.6792320213080794,0.6572735346047057,0.7275719328542043,0.5976331360946746
0.67,0.6773101112723754,0.6552392000082858,0.72838458998908,0.6035502958579881
0.6799999999999999,0.6773220947656953,0.6548793711032801,0.7321558270056124,0.6153846153846154
0.69,0.6754145086725294,0.6530320824213954,0.7329684841404881,0.621301775147929
0.7,0.6742438467233601,0.6517678992511207,0.7379815628412525,0.6390532544378699
0.71,0.6697516758074344,0.6480121199548645,0.7391776925616477,0.650887573964497
0.72,0.665006277993291,0.6442693581570426,0.7382736114990984,0.6568047337278107
0.73,0.6617659578405789,0.6418545570022229,0.7382278995352618,0.6627218934911243
0.74,0.6540365136664631,0.6360338501597822,0.7335068694923432,0.6627218934911243
0.75,0.6526353596121037,0.6354050005090688,0.7364197374101633,0.6745562130177515
0.76,0.6549616692220519,0.6377409756209647,0.7435787388577089,0.6923076923076923
0.77,0.651531143548017,0.6353283815369548,0.7414328161109277,0.6923076923076923
0.78,0.6497003574910627,0.6349069741532977,0.7460167102623358,0.7100591715976331
0.79,0.6471640811105716,0.6341922582332555,0.7501714198643878,0.727810650887574
0.8,0.6479545092415552,0.6369016854453748,0.7623435000126978,0.7633136094674556
0.8099999999999999,0.6437672872307847,0.6351646347817026,0.763539629733093,0.7751479289940828
0.82,0.6374685221575066,0.6318922008648332,0.7613479950224751,0.7810650887573964
0.83,0.6359387568853947,0.6319648763265223,0.7642608629402952,0.7928994082840237
0.84,0.6312074400391581,0.6303300963113935,0.765027808111334,0.8047337278106509
0.85,0.6246275059737432,0.6278750555551462,0.7645071996343042,0.8165680473372781
0.86,0.613473379210431,0.6221428174519766,0.7567818777458922,0.8165680473372781
0.87,0.6033051248668482,0.617781825358516,0.7515859511897809,0.8224852071005917
0.88,0.5937288708586883,0.6132911972799673,0.7447189984000813,0.8224852071005917
0.89,0.5788698305798169,0.6088474729408294,0.7398608324656526,0.8402366863905325
0.9,0.5588913666076387,0.6023031218735324,0.7290397948040734,0.8520710059171598
